Name,Location,CIR,Cr,Cu,As,Se,Cd,Sn,Pb,Rb,Ru,Cs,Ir,V,Co,Ag,Pt,Au,Tl, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Na,P,Mg,Sc,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
XinJiang_5,CHN,-15.2903,0.325,12.96,0.217,2.447,0.004,0.043,0.471,9.403,0,0.431,0,0.06,0.048,0.997,0,0.092,0.007,1.987,6.756,6.184,0.081,10.503,0.084,0.002,0.036,0,3.07,0.035,4.33,11.53,1.67,341.8,18.15,34.98,172.18,21.59,0.071,0.024,0.009,0.119,0.015,0.021,0.006,0.014,0.014,0.014,0.019,0.004,0.007,0.001,0.003,0
XinJiang_7,CHN,-15.1365,0.285,10.687,0.297,1.898,0.015,0.057,0.198,5.401,0.014,0.21,0.02,0.017,0.031,0.245,0.076,0,0.005,0,3.289,5.715,0.127,8.522,0.154,0,0.044,0,2.572,0.022,7.05,8.41,1.91,325.97,17.24,74.29,161.8,19.02,0.244,0.042,0.02,0.061,0.012,0.034,0,0.007,0.001,0.002,0.01,0,0.007,0,0.006,0.001
XinJiang_8,CHN,-15.167,0.199,14.11,0.178,2.311,0.031,0.033,0.42,3.929,0.004,0.271,0,0.041,0.012,2.768,0,0,0.004,0,28.956,4.687,0.208,8.513,0.066,0.003,0.018,0,2.271,0,4.37,10.83,2.1,318.51,15.97,48.86,164.6,18.92,0.16,0.054,0.085,0.091,0.008,0.032,0,0.02,0.007,0.009,0.009,0.001,0,0.002,0.01,0
XinJiang_9,CHN,-23.6882,0.949,11.901,0.229,2.552,0.023,0.033,0.429,3.74,0.092,0.26,0.018,0.048,0.05,1.271,0.081,0,0,0,3.32,5.632,0.08,10.106,0.123,0,0.034,0,2.615,0.001,3.69,9.95,1.49,333.38,17.61,58.2,167.37,19.97,0.138,0.049,0.12,0.109,0.006,0.022,0.007,0.011,0.023,0.002,0.029,0.005,0.007,0.002,0,0
gansu_2,CHN,-13.753,0.312,9.189,0.117,1.958,0.007,0.029,0.117,7.047,0.018,0.596,0.036,0.046,0.036,1.032,0.085,0,0.002,0,7.257,8.478,0.082,5.508,0.078,0,0.151,0,1.707,0,3.44,7.91,1.22,239.15,10.63,239.25,196.39,14.61,0.22,0.105,0.214,0.113,0.016,0.084,0,0.038,0.006,0.007,0.016,0.005,0.015,0.002,0.022,0.003
gansu_5,CHN,-16.8438,0.413,8.042,0.158,1.228,0.016,0.041,0.417,2.736,0,0.069,0.036,0.101,0.023,1.144,0.128,0,0.002,0,3.222,8.339,0.355,8.263,0.15,0,0.268,0,2.184,0,3.18,9.32,1.41,212.77,11.56,322.23,209.93,12.64,0.272,0.018,0.044,0.018,0.008,0.026,0.014,0.004,0.002,0.004,0.016,0,0.011,0,0.003,0
NeiMengGu_1,CHN,-14.424,0.304,12.78,0.558,4.354,0.008,0.055,0.338,7.259,0.009,0.255,0.037,0.032,0.116,1.285,0.042,0,0,0,2.629,4.458,0.364,11.106,0.052,0,0.062,0,3.022,0,6.87,14.09,2.02,299.13,21.73,53.21,153.2,19.52,0.043,0.016,0.019,0.084,0.012,0.033,0.012,0.013,0.015,0.003,0.015,0.002,0.007,0.001,0.008,0
NeiMengGu_5,CHN,-18.3663,0.188,11.22,0.272,2.156,0.007,0.095,2.102,3.85,0.014,0.265,0,0.046,0.082,1.275,0.088,0.087,0.003,0,1.263,1.873,0.022,3.649,0.157,0,0.017,0,1.297,0,4.01,6.13,1.38,249.45,12.92,39.74,133.27,14.93,0.133,0.079,0.201,0.076,0.012,0.042,0.024,0.021,0.021,0.006,0.023,0.005,0.007,0,0.016,0
NeiMengGu_6,CHN,-13.9801,0.527,10.141,0.297,2.896,0.01,0.043,0.214,8.688,0,0.646,0.036,0.028,0.019,1.371,0.21,0,0,2.357,1.951,6.251,0.113,5.952,0.088,0,0.033,0,1.98,0,3.7,7.99,1.9,322.4,14.71,62.51,162.62,19.7,0.172,0.056,0.513,0.141,0.011,0.074,0.007,0.014,0.013,0.003,0.016,0,0.011,0,0.003,0
NeiMengGu_8,CHN,-14.7823,0.317,13.775,0.202,2.06,0.045,0.126,1.071,7.955,0.037,0.525,0.017,0.086,0.135,2.75,0.04,0.182,0.001,0,0,0,0,1.033,0,0,0.002,0,0.275,0,4.08,18.47,1.58,279.86,25.42,45.68,145.33,19.46,0.206,0.042,0.038,0.054,0.016,0.045,0.025,0.013,0.004,0.002,0,0.003,0.01,0.001,0.011,0
NeiMengGu_9,CHN,-14.5076,0.263,9.782,0.117,3.761,0.003,0.04,0.183,2.488,0.004,0.128,0.014,0.05,0.066,0.827,0,0,0.001,0,0.811,4.233,0,5.955,0.099,0.004,0.03,0,1.618,0,4.65,7.4,1.02,273.57,11.07,48.3,135.41,15.34,0.241,0.042,2.379,0.266,0.025,0.12,0.032,0.024,0.022,0.006,0.015,0.006,0.019,0.004,0.017,0.003
NeiMengGu_10,CHN,-22.8438,0.337,7.147,0.222,1.534,0.02,0.032,0.269,4.737,0,0.364,0.018,0.014,0.056,0.776,0.052,0,0.003,0,2.801,4.694,0.171,7.808,0.022,0.002,0.038,0,2.302,0,2.87,9.64,1.12,292.78,14.49,45.19,143.16,17.26,0.232,0.044,0.098,0.072,0.007,0.109,0.027,0.021,0.009,0.01,0.015,0.003,0.01,0,0.018,0
Henan_1,CHN,-24.0665,0.233,19.288,0.323,1.158,0.014,0.056,0.202,1.903,0.005,0.076,0,0.026,0.019,0.906,0,0.084,0.004,0,0,0,0,2.481,0,0.002,0.005,0,0.639,0.003,3.36,7.78,2.92,314.07,19.79,39.94,169.68,19.23,0.216,0.009,0.521,0.036,0,0.035,0.006,0.01,0.001,0.002,0.015,0.001,0.007,0,0.006,0
Henan_3,CHN,-16.4553,2.215,12.835,0.214,1.534,0.031,0.058,0.324,8.197,0,0.537,0.036,0.017,0.062,1.066,0.045,0,0.005,0,0,0,0,0.776,0,0,0,0,0.124,0,2.81,11.32,1.86,317.5,29.69,39.94,163,20.62,0.081,0.042,0.376,0.064,0,0.024,0.007,0.015,0.001,0.002,0,0.004,0.007,0,0.003,0.001
Henan_4,CHN,-12.5751,0.34,13.843,0.131,2.158,0.003,0.06,0.532,11.319,0.014,0.574,0,0.043,0.081,6.615,0.045,0,0.002,1.472,1.155,2.507,0.106,5.068,0.049,0.003,0.021,0.027,1.633,0,5.84,7.84,3.46,324.72,21.59,55.63,167.72,19.76,0.049,0.035,0.021,0.058,0.013,0.082,0.007,0.029,0.009,0.002,0.015,0.004,0.014,0,0,0.001
Henan_5,CHN,-16.5905,0.244,14.801,0.104,3.136,0.023,0.047,0.279,14.33,0.004,0.626,0,0.064,0.099,1.39,0.064,0,0.004,0,4.05,5.166,0.158,8.342,0.097,0.001,0.037,0,2.391,0,5.05,11.24,2.04,320.37,25.11,77.34,159.25,19.93,0.496,0.214,1.708,0.831,0.063,0.2,0.045,0.18,0.054,0.012,0.025,0.015,0.021,0.002,0.021,0.002
Henan_7,CHN,-14.204,0.624,11.485,0.267,2.075,0.017,0.077,0.26,5.006,0.001,0.265,0,0.05,0.05,1.395,0.173,0.09,0.003,2.156,5.957,3.333,0.264,10.294,0.077,0,0.042,0,2.576,0,5.27,11.95,1.64,247.33,16.33,53.23,125.18,16.28,0.13,0.071,0.305,0.181,0.039,0.149,0,0.04,0.028,0.017,0.019,0.002,0.016,0.002,0.008,0
Henan_8,CHN,-15.1453,0.328,10.42,0.175,1.543,0.01,0.029,0.36,7.58,0,0.425,0,0.02,0.028,5.02,0.091,0,0.002,0,2.018,6.678,0.143,6.137,0.052,0.003,0.021,0,1.716,0,4.22,11.68,1.89,363.91,13.04,63.36,177.95,20.92,0.047,0.086,0.116,0.104,0.026,0.048,0.013,0.036,0.026,0.002,0.027,0.003,0.015,0.001,0.003,0
YunNan_1,CHN,-17.0657,0.321,15.638,0.173,0.753,0.029,0.124,0.168,4.994,0,0.174,0,0.046,0.036,1.488,0.051,0.073,0.004,1.307,195.049,2.052,0.007,4.844,0.008,0.001,0.022,0,1.543,0,3.91,7.65,2.52,289.55,14.7,42.52,155.08,17.55,0.367,0.009,0.02,0.106,0.007,0.012,0.013,0.021,-0.003,0.007,0.01,0.001,0.007,0.001,0.003,0.002
NingXia_1-2,CHN,-18.8676,0.307,8.146,0.157,1.003,0.022,0.035,0.167,8.995,0,1.015,0,0.076,0.111,0.59,0.066,0.122,0.003,0,9.393,3.562,0.134,9.83,0.065,0,0.041,0,2.935,0,2.26,13,1.1,322.9,16.87,51.28,160.49,19.84,0.163,0.036,0.063,0.053,0.021,0.025,0,0.004,0.001,0.008,0.005,0.001,0.012,0.001,0,0
NingXia_2,CHN,-17.9163,0.589,16.627,0.418,9.421,0.011,0.077,0.65,3.646,0,0.19,0.018,0.016,0.023,0.363,0,0,0.002,0,9.462,6.754,0.059,5.169,0.119,0.008,0.018,0,1.798,0,3.02,6.58,3.26,367.87,19.68,51.09,177.17,20.37,0.208,0.105,0.171,0.208,0.018,0.143,0.051,0.059,0.054,0.009,0.04,0.005,0,0.001,0.007,0.002
NingXia_4,CHN,-19.3418,0.432,13.007,0.389,3.405,0.014,0.026,0.456,7.676,0,0.416,0,0.022,0.054,0.388,0,0,0.003,0,6.71,4.016,0,5.618,0.006,0.002,0.015,0,1.675,0,4.84,9.96,2.35,333.79,13.57,47.38,167.59,19.76,0.157,0.137,0.082,0.25,0.02,0.175,0.028,0.038,0.047,0.012,0,0.006,0.028,0,0.015,0
NingXia_5,CHN,-18.3563,0.444,15.515,0.267,1.635,0.026,0.073,0.941,2.637,0,0.163,0.018,0.018,0.024,2.098,0.091,0.171,0,0,35.459,4.258,0.145,5.26,0.008,0.004,0.037,0,1.616,0,4.07,6.3,2.61,343.5,16.88,52.9,186.05,20.58,0.174,0.043,0.094,0.113,0.016,0.078,0.007,0.021,0.012,0.002,0.005,0.001,0.01,0.002,0.009,0
NingXia_8,CHN,-13.7625,0.76,10.213,0.224,2.734,0.029,0.064,0.692,12.492,0,0.969,0.039,0.044,0.073,0.487,0.108,0,0.003,0,7.218,4.28,0.085,5.642,0.116,0.004,0.024,0,1.863,0,4.12,10.12,1.85,344.92,20.04,61.23,170.46,19.94,0.072,0.017,1.583,0.079,0.012,0.077,0.019,0.015,0.022,0.005,0.005,0,0.02,0.002,0.003,0.003
NingXia_9,CHN,-11.1755,0.372,15.204,0.126,2.683,0.012,0.063,0.27,12.567,0,0.619,0,0.047,0.084,1.355,0.054,0,0.005,0,3.168,3.983,0.054,8.549,0.072,0.012,0.059,0,2.355,0,6.17,14.67,1.88,353.97,28.96,50.98,186.15,23.31,0.116,0.027,0.02,0.044,0.003,0.047,0,0.004,0.013,0,0.011,0.002,0.004,0.001,0.003,0.002
NingXia_10,CHN,-14.0346,0.474,16.173,0.311,4.052,0.015,0.043,0.233,7.126,0,0.453,0,0.072,0.087,1.671,0.262,0,0.006,0,5.415,5.936,0.131,6.779,0.052,0.003,0.036,0,2.26,0,6.65,9.95,2.2,333.8,24.46,71.04,165.86,19.48,0.217,0.034,0.039,0.102,0.022,0.081,0.02,0.01,0.021,0.003,0.011,0.005,0.007,0.003,0.003,0
NingXia_11,CHN,-13.7275,0.767,13.522,0.196,5.835,0.028,0.03,0.297,11.855,0,0.896,0.018,0.023,0.067,0.89,0,0.087,0.005,0,7.063,5.019,0.118,6.254,0.139,0.006,0.022,0,2.101,0,6.42,9.9,2.12,354.51,21.46,62.31,172.2,20.15,0.224,0.115,0.05,0.169,0.024,0.121,0,0.038,0.021,0.005,0.032,0.003,0.026,0.002,0.003,0
QingHai_3,CHN,-19.5278,0.547,15.738,0.195,1.568,0.017,0.037,2.13,8.355,0,0.524,0.019,0.052,0.066,2.386,0.047,0.086,0.007,0,65.574,7.228,0.41,5.601,0.064,0.002,0.029,0,1.846,0,4.74,8.33,2.74,336.81,21.53,61.63,179,20.47,0.194,0.231,0.258,0.472,0.047,0.172,0.06,0.059,0.107,0.017,0.043,0.003,0.034,0.006,0.037,0.005
QingHai_4,CHN,-26.2885,0.909,16.677,0.218,2.766,0.048,0.031,2.559,14.473,0,2.835,0,0.023,0.058,0.581,0,0,0.007,0,11.64,3.857,0.091,6.733,0.042,0.006,0.034,0,2.512,0,4.1,9.46,2.84,357.47,22.42,54.84,178.12,21.14,0.159,0,0.041,0.024,0.004,0.037,0.027,0.012,-0.003,0.003,0,0.001,0.007,0.001,0.003,0
QingHai_5,CHN,-20.8804,0.353,11.976,0.152,1.803,0.021,0.03,0.714,21.873,0,2.356,0,0.032,0.019,0.882,0,0,0.125,0,1.557,4.826,0.618,2.717,0.022,0.004,0.02,0,1.037,0,2.49,4.68,1.55,280.29,12.53,29.18,143.32,15.88,0.126,0.026,0.042,0.096,0.013,0.013,0,0.025,0.01,0.002,0,0.003,0,0,0.01,0.002
QingHai_6,CHN,-15.9538,0.439,12.027,0.21,2.058,0.025,0.062,0.754,6.069,0,0.147,0,0.024,0.065,0.75,0,0.178,0.001,0,5.378,3.374,0.121,7.411,0.045,0.003,0.032,0,2.511,0,3.83,10.55,1.97,265.42,17.3,70.42,131.89,16.16,0.123,0.218,0.739,0.292,0.045,0.184,0.055,0.04,0.049,0.016,0.042,0.004,0.033,0.003,0.009,0.003
QingHai_8,CHN,-19.2862,0.356,11.322,0.284,1.611,0.018,0.05,0.528,8.149,0,0.301,0,0.023,0.03,0.757,0,0,0.005,0,31.338,3.827,0.041,7.15,0.069,0.004,0.03,0,2.269,0,3.05,10.44,1.78,301.08,16.11,41.78,148.99,18.44,0.047,0.035,0.437,0.126,0.01,0.036,0.032,0.01,0.012,0.007,0,0.002,0.014,0,0.009,0.004
QingHai_9,CHN,-25.5648,0.517,11.618,0.146,2.388,0,0.028,0.241,9.033,0,0.177,0,0.012,0.045,0.256,0,0,0.002,0,7.785,5.712,0.076,4.128,0.077,0.006,0.008,0,1.697,0,3.32,5.23,1.85,360.52,5.84,42.94,178.66,19.98,0.133,0.066,0.256,0.151,0.014,0.051,0.057,0.028,0.023,0,0.028,0.005,0.012,0.001,0.006,0.003
GanSu_8,CHN,-14.6211,0.16,13.813,0.157,0.607,0.013,0.071,0.273,2.424,0,0.062,0.066,0.028,0.042,1.17,0,0,0.002,1.58,7.598,4.065,0.117,9.368,0.041,0.002,0.034,0,3.168,0,3.03,13.53,2.94,300.17,30.53,42.74,155.56,18.97,0.138,0.049,0.776,0.073,0.015,0.08,0.007,0.013,0.033,0.008,0.017,0.001,0.016,0.001,0.003,0
JiangSu_1,CHN,-12.0743,0.26,7.657,0.075,7.566,0.009,-0.005,0.162,15.158,0,1.376,0,0.032,0.044,1.175,0,0.113,0.01,0,4.746,3.041,0.015,9.119,0.061,0.002,0.036,0,2.997,0,3.14,11.32,1.08,290.15,19.96,41.08,137.75,17.18,0.174,0.086,0.087,0.057,0.011,0.039,0.014,0.028,0.028,0,0.023,0,0.016,0,0.007,0.002
JiangSu_2-1,CHN,-23.3955,0.507,9.471,0.078,4.935,0.026,0.021,0.111,20.868,0,1.88,0,0.035,0.031,0.537,0.049,0,0.101,0,2.968,3.899,0.062,4.337,0.044,0.005,0.017,0,1.191,0,3.16,5.55,1.73,286.08,13.08,32.89,144.74,16.39,0.199,0.062,0.042,0.13,0.014,0.036,0.013,0.012,0.018,0.009,0.011,0.005,0.004,0.003,0.006,0
JiangSu_2-2,CHN,-15.2323,0.276,8.114,0.15,1.431,0.045,0.037,0.379,7.455,0,0.492,0,0.028,0.057,1.207,0.05,0,0,0,5.369,4.02,0.085,10.251,0.071,0,0.059,0,3.67,0,4.16,12.91,1.26,225.11,19.91,43.6,117.17,14.75,0.3,0.194,4.729,0.585,0.073,0.092,0.105,0.104,0.101,0.013,0.049,0.014,0.025,0.01,0.024,0.003
JiangSu_6,CHN,-18.6695,0.106,5.124,0.088,3.398,0.014,0.004,0.214,2.703,0,0.125,0.034,0,0.03,3.227,0,0,0.001,1.417,2.168,0.354,0.026,3.342,0.003,0.002,0.009,0,1.004,0,1.28,5.02,0.69,121.97,11.38,23.37,62.84,7.69,0.073,0.075,0.085,0.116,0.012,0.014,0,0.023,0.015,0.006,0.026,0.006,0.005,0,0.008,0
SiChuan_1,CHN,-18.2615,0.324,13.245,0.132,1.323,0.028,0.032,0.265,4.548,0,0.13,0,0.061,0.049,2.008,0,0.101,0.009,0,152.891,2.681,0.058,10.261,0.041,0,0.015,0,2.513,0,4.9,12.85,2.27,189.73,15.92,37.74,117.23,14.79,0.151,0.058,0.103,0.101,0.016,0.011,0.012,0.013,0.004,0.003,0.029,0,0.013,0,0.006,0.001
SiChuan_3,CHN,-19.2918,0.297,9.852,0.071,1.624,0.009,0.045,0.42,5.016,0,0.215,0,0.029,0.033,0.6,0.097,0.095,0.012,0,7.167,3.321,0.029,4.275,0.02,0,0.848,0.07,1.207,0,3.71,7,1.43,187.51,12.71,31.62,104.05,11.91,0.165,0.057,0.167,0.232,0.004,0.063,0.015,0.016,0.044,0.005,0.015,0.009,0.007,0.001,0.012,0.002
SiChuan_4,CHN,-27.2283,0.254,13.761,0.153,2.503,0.001,0.014,0.184,16.542,0,2.275,0,0.021,0.023,0.942,0,0,0.009,0,7.287,4.655,0,3.484,0.01,0,0.007,0,1.126,0,4.17,6.59,2.61,294.75,12.56,41.07,150.48,17.53,0.157,0.01,0.04,0.057,0.008,0.014,0,0.01,0.012,0.004,0.006,0.002,0,0,0.004,0.004
ShanDong_1,CHN,-15.2365,0.428,7.388,0.156,1.524,0.014,0.033,0.622,8.241,0,0.34,0.036,0.022,0.045,0.297,0.048,0.174,0.003,0,10.056,4.686,0.005,4.408,0.048,0.004,0.005,0,1.638,0,3.75,7.73,1.48,284.94,16.61,36.03,144.76,17.04,0.016,0.195,0.225,0.3,0.033,0.145,0.014,0.045,0.044,0.015,0.031,0.005,0.025,0.004,0.011,0.003
ShanDong_2,CHN,-15.071,0.556,14.051,0.222,1.757,0,0.025,0.165,13.868,0,0.215,0.036,0.023,0.034,1.436,0.093,0,0,1.516,11.654,5.552,0.005,5.368,0.113,0,0.019,0,1.723,0.001,5.54,8.89,2.61,329.41,20.56,49.29,170.33,20.13,0.125,0.027,0.053,0.054,0,0.038,0.007,0.008,0.006,0.003,0,0.003,0.007,0.003,0.003,0
ShanDong_3,CHN,-22.3885,0.24,9.278,0.258,2.12,0.026,0.017,0.37,4.192,0,0.163,0,0.026,0.033,1.068,0,0,0.003,3.025,6.024,2.602,0.021,5.203,0,0,0.021,0,1.942,0,1.94,10.17,2.06,271.01,13.88,39,140.82,15.98,0.174,0.02,0.847,0.11,0.011,0.039,0.014,0.034,0.01,0.004,0.016,0,0.004,0.001,0.013,0
ShanDong_5,CHN,-21.2865,0.299,8.552,0.135,1.223,0.004,0.017,0.188,3.529,0,0.208,0,0.04,0.029,1.022,0,0,0,0,21.555,5.668,0,3.634,0.01,0.005,0.009,0,1.219,0,4.46,6.29,1.37,258.04,13.9,37.77,141.92,16.11,0.298,0.044,0.16,0.257,0.007,0.073,0,0.014,0.034,0.009,0.016,0.001,0.007,0.001,0.006,0
ShanDong_6,CHN,-20.514,0.244,9.54,0.206,2.155,0.021,0.021,0.285,22.382,0,1.067,0,0.017,0.055,2.24,0.096,0,0.003,12.639,7.903,6.771,0.596,4.414,0.118,0.001,0.037,0.044,1.437,0,3.78,7.04,3.12,335.06,18.62,70.6,165.92,19.56,0.271,0.02,0.025,0.053,0.011,0.042,0,0.016,-0.002,0,0,0.003,0.016,0,0.007,0
ShanDong_8,CHN,-21.796,0.217,3.884,0.074,0.7,0.007,0.003,0.154,3.117,0,0.112,0.039,0,0,0.528,0,0,0,16.533,1.889,4.751,0.153,3.814,0.029,0.001,0.007,0,1.374,0.004,1.12,2.95,1.57,136.46,6.04,21.51,69.11,7.48,0.131,0.01,0.156,0.035,0.007,0.041,0,0.009,-0.002,0.002,0.006,0.003,0,0,0,0
ShanDong_9,CHN,-21.4385,0.516,8.996,0.267,1.217,0.013,-0.005,0.302,5.179,0,0.211,0.109,0.026,0,0.68,0.048,0,0.001,0,7.122,10.017,0,4.906,0.129,0.003,0.046,0.042,1.479,0,2.95,7.7,1.43,331.18,13.75,43.15,166.63,19.27,0.21,0.048,0.106,0.079,0.011,0.063,0,0.015,0.006,0.002,0.005,0.001,0,0,0.003,0
ShanDong_10,CHN,-24.3166,0.379,17.638,0.115,1.363,0.006,0.025,0.169,13.588,0,0.198,0.032,0.015,0.047,5.938,0,0,0.005,0,0,9.839,0.006,5.783,0.081,0.008,0.042,0,2.009,0,5.24,8.73,2.53,306.93,22.06,46.91,169.42,19.92,0.175,0.029,0.003,0.011,0,0.027,0,0.008,0.002,0,0.012,0,0,0,0,0
ShanDong_11,CHN,-13.7305,0.551,11.289,0.245,1.931,0.011,0.007,0.136,11.498,0,0.589,0,0.019,0.045,1.164,0.049,0,0,0,4.526,12.352,0.041,6.698,0.077,0.007,0.027,0,1.994,0.005,5.8,9.87,1.99,365.9,14.73,58.16,182.45,21.03,0.177,0.077,0.353,0.057,0.007,0.026,0.007,0.016,-0.002,0,0,0.001,0.017,0.002,0,0
ARG_33,ARG,-17.0138,0.179,9.891,0.384,1.805,0.014,0,0.262,3.054,0,0.059,0.036,0.088,0.029,0.581,0.054,0,0.001,0,8.322,12.298,0.013,11.748,0.145,0.005,0.03,0,3.037,0,7.8,18.45,3.12,307.02,14.09,67.88,160.97,21.37,0.234,0.036,0.052,0.127,0.02,0.026,0.014,0.016,0.01,0.005,0.022,0.001,0.019,0.002,0.003,0
ARG_34,ARG,-23.965,1.189,26.763,0.41,1.929,0.011,0.036,0.289,1.575,0,0.037,0.036,0.287,0.103,0.856,0,0.094,0,0,11.659,3.804,0.185,7.976,0.173,0,0.017,0,1.992,0,3.77,11.7,2.63,202.38,22.26,61.92,134.32,15.12,0.345,0.027,0.682,0.153,0.003,0.024,0.007,0.019,0.024,0.006,0.02,0.004,0.011,0.001,0.011,0.003
ARG_35,ARG,-17.3832,0.283,8.972,0.382,2.821,0.052,0.055,0.39,2.227,0,0.047,0,0.133,0.084,4.96,0.055,0,0.001,2.096,10.288,5.242,0.151,14.086,0.184,0,0.052,0.037,3.734,0,3.21,15.67,2.33,233.13,21.07,57.28,122.68,15.49,0.322,0,0.013,0.025,0,0.012,0.007,0.004,-0.002,0.002,0.005,0.001,0,0,0,0
ARG_36,ARG,-18.693,0.606,9.077,0.3,2.431,0.011,0.163,0.176,2.085,0,0.045,0.036,0.063,0.063,0.98,0.047,0,0,0,5.756,3.993,0.131,8.978,0.278,0.004,0.037,0,2.559,0,4.91,10.67,4.69,260.49,20.39,66.2,132.14,15.65,0.358,0.029,0.003,0.092,0.014,0.039,0.007,0.028,0.015,0.004,0.006,0,0.012,0.002,0.003,0
